legacy_id,unit_id,label,source_path,source_sha256,pointer,category,organization_id,product_id,version,version_status,deployment_status,normalization_status,split_rule,evaluation_role,uncertainty,economic_functions,instruments,mechanisms,execution,trust
legacy:lane1:c0:p0,unit:lane1:c0:p0,Uniswap,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,afaf18d717dbd0ccc4e2909c146943e37ed3dff3c982bcfbc9b4f71f26c23369,/categories/0/protocols/0,Spot DEX / AMM,org:uniswap,product:lane1:c0:p0,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""exchange""]","[""spot_asset""]","[""amm"", ""mint_burn""]",[],[]
legacy:lane1:c0:p1,unit:lane1:c0:p1,PancakeSwap,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,afaf18d717dbd0ccc4e2909c146943e37ed3dff3c982bcfbc9b4f71f26c23369,/categories/0/protocols/1,Spot DEX / AMM,org:pancakeswap,product:lane1:c0:p1,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""exchange""]","[""spot_asset""]","[""allocation"", ""amm"", ""mint_burn""]",[],[]
legacy:lane1:c0:p2,unit:lane1:c0:p2,Curve,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,afaf18d717dbd0ccc4e2909c146943e37ed3dff3c982bcfbc9b4f71f26c23369,/categories/0/protocols/2,Spot DEX / AMM,org:curve,product:lane1:c0:p2,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""exchange""]","[""spot_asset""]","[""allocation"", ""amm"", ""routing""]",[],[]
legacy:lane1:c0:p3,unit:lane1:c0:p3,Raydium,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,afaf18d717dbd0ccc4e2909c146943e37ed3dff3c982bcfbc9b4f71f26c23369,/categories/0/protocols/3,Spot DEX / AMM,org:raydium,product:lane1:c0:p3,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""exchange""]","[""spot_asset""]","[""amm"", ""mint_burn""]","[""solana_transaction""]",[]
legacy:lane1:c0:p4,unit:lane1:c0:p4,Fluid,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,afaf18d717dbd0ccc4e2909c146943e37ed3dff3c982bcfbc9b4f71f26c23369,/categories/0/protocols/4,Spot DEX / AMM,org:fluid,product:lane1:c0:p4,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""credit"", ""exchange""]","[""debt_claim"", ""spot_asset""]","[""amm"", ""collateralization""]",[],[]
legacy:lane1:c1:p0,unit:lane1:c1:p0,Aave V3,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,afaf18d717dbd0ccc4e2909c146943e37ed3dff3c982bcfbc9b4f71f26c23369,/categories/1/protocols/0,Lending,org:aave-v3,product:lane1:c1:p0,V3,source_label,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""credit""]","[""debt_claim""]","[""collateralization"", ""liquidation""]",[],[]
legacy:lane1:c1:p1,unit:lane1:c1:p1,Morpho,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,afaf18d717dbd0ccc4e2909c146943e37ed3dff3c982bcfbc9b4f71f26c23369,/categories/1/protocols/1,Lending,org:morpho,product:lane1:c1:p1,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""asset_management"", ""credit""]","[""debt_claim"", ""vault_share""]","[""allocation"", ""collateralization""]",[],"[""curator"", ""oracle""]"
legacy:lane1:c1:p2,unit:lane1:c1:p2,SparkLend,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,afaf18d717dbd0ccc4e2909c146943e37ed3dff3c982bcfbc9b4f71f26c23369,/categories/1/protocols/2,Lending,org:sparklend,product:lane1:c1:p2,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""credit""]","[""debt_claim""]",[],[],"[""issuer""]"
legacy:lane1:c1:p3,unit:lane1:c1:p3,JustLend V1,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,afaf18d717dbd0ccc4e2909c146943e37ed3dff3c982bcfbc9b4f71f26c23369,/categories/1/protocols/3,Lending,org:justlend-v1,product:lane1:c1:p3,V1,source_label,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""credit""]","[""debt_claim"", ""vault_share""]","[""liquidation""]",[],[]
legacy:lane1:c1:p4,unit:lane1:c1:p4,Maple,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,afaf18d717dbd0ccc4e2909c146943e37ed3dff3c982bcfbc9b4f71f26c23369,/categories/1/protocols/4,Lending,org:maple,product:lane1:c1:p4,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""credit"", ""offchain_claims""]","[""debt_claim""]","[""collateralization"", ""custody"", ""liquidation""]","[""offchain_legal_settlement""]","[""curator"", ""custodian"", ""legal_obligor""]"
