control: exit=0; comparisons=45; false=[]
wrap-add: exit=1; comparisons=45; false=['arithmetic.fixture.f04']
unchecked-sub: exit=1; comparisons=45; false=['arithmetic.fixture.f05']
truncate-product: exit=1; comparisons=45; false=['arithmetic.fixture.f07', 'arithmetic.fixture.f12', 'arithmetic.fixture.f13', 'arithmetic.fixture.f39']
zero-denominator-zero: exit=1; comparisons=45; false=['arithmetic.fixture.f08', 'arithmetic.fixture.f45']
floor-rounds-up: exit=1; comparisons=45; false=['arithmetic.fixture.f09', 'arithmetic.fixture.f12', 'arithmetic.fixture.f14', 'arithmetic.fixture.f25', 'arithmetic.fixture.f39', 'arithmetic.fixture.f40', 'arithmetic.fixture.f42']
ceil-rounds-down: exit=1; comparisons=45; false=['arithmetic.fixture.f10', 'arithmetic.fixture.f13', 'arithmetic.fixture.f15', 'arithmetic.fixture.f16', 'arithmetic.fixture.f37', 'arithmetic.fixture.f43']
ceil-exact-plus-one: exit=1; comparisons=45; false=['arithmetic.fixture.f11', 'arithmetic.fixture.f17', 'arithmetic.fixture.f20', 'arithmetic.fixture.f34', 'arithmetic.fixture.f35', 'arithmetic.fixture.f36', 'arithmetic.fixture.f44']
wrap-quotient: exit=1; comparisons=45; false=['arithmetic.fixture.f13']
clamp-rate: exit=1; comparisons=45; false=['arithmetic.fixture.f19']
gross-as-received: exit=1; comparisons=45; false=['arithmetic.fixture.f14', 'arithmetic.fixture.f15', 'arithmetic.fixture.f25', 'arithmetic.fixture.f26', 'arithmetic.fixture.f29', 'arithmetic.fixture.f36', 'arithmetic.fixture.f37', 'arithmetic.fixture.f40', 'arithmetic.fixture.f41', 'arithmetic.fixture.f42']
ignore-scale: exit=1; comparisons=45; false=['arithmetic.fixture.f21']
omit-collector: exit=1; comparisons=45; false=['arithmetic.fixture.f25', 'arithmetic.fixture.f26', 'arithmetic.fixture.f40', 'arithmetic.fixture.f41', 'arithmetic.fixture.f42', 'arithmetic.fixture.f43']
DISCRIMINATES: 12 mutants and one nonempty unchanged control
