production-eval-discriminating-mutant: expected=0; actual=0; PASS
production-eval-required-stays-true: expected=1; actual=1; PASS
live-discriminating-mutant: expected=0; actual=0; PASS
dotted-comparisons: expected=0; actual=0; PASS
hyphenated-dotted-comparisons: expected=0; actual=0; PASS
empty-dot-segment-spec: expected=3; actual=3; PASS
trailing-dot-spec: expected=3; actual=3; PASS
leading-dot-observation: expected=3; actual=3; PASS
empty-dot-segment-observation: expected=3; actual=3; PASS
unused-variable-warning: expected=0; actual=0; PASS
uppercase-observation: expected=3; actual=3; PASS
unknown-mutant-observation: expected=3; actual=3; PASS
all-true-mutant: expected=1; actual=1; PASS
required-observation-stays-true: expected=1; actual=1; PASS
positive-control-flipped: expected=1; actual=1; PASS
compilation-only-failure: expected=3; actual=3; PASS
compiler-error-with-runtime-failure: expected=3; actual=3; PASS
empty-observations: expected=3; actual=3; PASS
duplicate-observations: expected=3; actual=3; PASS
missing-positive-observation: expected=3; actual=3; PASS
missing-required-observation: expected=3; actual=3; PASS
partial-mutant-observations: expected=3; actual=3; PASS
no-op-mutation: expected=3; actual=3; PASS
missing-mutation-needle: expected=3; actual=3; PASS
missing-source-setup: expected=3; actual=3; PASS
missing-manifest-setup: expected=3; actual=3; PASS
existing-output-setup: expected=3; actual=3; PASS
reserved-mutation-name: expected=3; actual=3; PASS
empty-module-inventory: expected=3; actual=3; PASS
empty-positive-inventory: expected=3; actual=3; PASS
duplicate-module-inventory: expected=3; actual=3; PASS
duplicate-mutation-inventory: expected=3; actual=3; PASS
duplicate-positive-check: expected=3; actual=3; PASS
duplicate-required-check: expected=3; actual=3; PASS
nonunique-mutation-needle: expected=3; actual=3; PASS
malformed-observation: expected=3; actual=3; PASS
malformed-json: expected=3; actual=3; PASS
duplicate-json-key: expected=3; actual=3; PASS
output-inside-repository: expected=3; actual=3; PASS
output-symlink: expected=3; actual=3; PASS
discovered-interface-dependency: expected=0; actual=0; PASS
fresh-dependency-source-failure: expected=3; actual=3; PASS
missing-audit-root: expected=3; actual=3; PASS
foreign-module-root: expected=3; actual=3; PASS
mutation-module-outside-inventory: expected=3; actual=3; PASS
unchanged-control-failed: expected=1; actual=1; PASS
nonkernel-local-dependency: expected=0; actual=0; PASS
dirty-source-before-run: expected=3; actual=3; PASS
staged-source-before-run: expected=3; actual=3; PASS
source-drift-during-run: expected=3; actual=3; PASS
source-drift-during-mutant: expected=3; actual=3; PASS
specification-drift-during-run: expected=3; actual=3; PASS
runtime-definition-after-proof-boundary: expected=3; actual=3; PASS
attributed-runtime-after-proof-boundary: expected=3; actual=3; PASS
comment-prefixed-runtime-after-proof-boundary: expected=3; actual=3; PASS
macro-after-proof-boundary: expected=3; actual=3; PASS
macro-rules-after-proof-boundary: expected=3; actual=3; PASS
syntax-after-proof-boundary: expected=3; actual=3; PASS
initialize-after-proof-boundary: expected=3; actual=3; PASS
proof-comment-keywords-sibling: expected=0; actual=0; PASS
proof-string-keywords-sibling: expected=0; actual=0; PASS
raw-string-before-attributed-runtime: expected=3; actual=3; PASS
character-before-attributed-runtime: expected=3; actual=3; PASS
proof-raw-string-character-sibling: expected=0; actual=0; PASS
empty-mutation-inventory: expected=3; actual=3; PASS
CONTROLS: 65/65 passed
