control: exit=0; comparisons=99; false=[]
maximum-instead-of-sum: exit=1; comparisons=99; false=['interface.group.refusal-total', 'interface.group.snapshot-total', 'interface.region.duplicate-insertion', 'interface.region.exposed-total-counterexample', 'interface.region.mint-total', 'interface.region.missing-initialization', 'interface.region.mixed-dimensions', 'interface.region.private-total', 'interface.region.sum', 'interface.region.transfer-total', 'interface.shared.all-prefix-totals']
negated-receipt-delta: exit=1; comparisons=99; false=['interface.region.mint', 'interface.region.repeated', 'interface.region.transfer-out']
first-repeated-target-only: exit=1; comparisons=99; false=['interface.region.repeated']
supply-masks-region-delta: exit=1; comparisons=99; false=['interface.region.mint']
whole-supply-as-region-delta: exit=1; comparisons=99; false=['interface.region.exposed-total-counterexample', 'interface.region.repeated', 'interface.region.transfer-out']
drop-final-binding: exit=1; comparisons=99; false=['interface.binding.asset', 'interface.binding.cut-omission-counterexample', 'interface.binding.domain', 'interface.binding.domain-before-asset', 'interface.binding.global-edge', 'interface.binding.hold-failure', 'interface.binding.later-index', 'interface.binding.left-before-right', 'interface.binding.missing-component-left', 'interface.binding.missing-component-right', 'interface.binding.missing-port', 'interface.binding.reverse', 'interface.binding.transitive-negative', 'interface.binding.unequal', 'interface.binding.unresolved-self-edge', 'interface.group.snapshot-not-binding']
compare-left-with-itself: exit=1; comparisons=99; false=['interface.binding.cut-omission-counterexample', 'interface.binding.first-failure', 'interface.binding.global-edge', 'interface.binding.hold-failure', 'interface.binding.reverse', 'interface.binding.transitive-negative', 'interface.binding.unequal', 'interface.group.snapshot-not-binding']
omit-asset-comparison: exit=1; comparisons=99; false=['interface.binding.asset']
omit-domain-comparison: exit=1; comparisons=99; false=['interface.binding.domain', 'interface.binding.domain-before-asset']
global-port-lookup: exit=1; comparisons=99; false=['interface.binding.asset', 'interface.binding.cut-omission-counterexample', 'interface.binding.domain', 'interface.binding.domain-before-asset', 'interface.binding.first-failure', 'interface.binding.global-edge', 'interface.binding.hold-failure', 'interface.binding.input-not-resource', 'interface.binding.later-index', 'interface.binding.left-before-right', 'interface.binding.missing-component-left', 'interface.binding.missing-component-right', 'interface.binding.missing-port', 'interface.binding.output-not-resource', 'interface.binding.reverse', 'interface.binding.transitive-negative', 'interface.binding.unequal', 'interface.binding.unresolved-self-edge', 'interface.group.snapshot-not-binding']
missing-port-fallback: exit=1; comparisons=99; false=['interface.binding.input-not-resource', 'interface.binding.missing-port', 'interface.binding.output-not-resource']
tail-before-current-edge: exit=1; comparisons=99; false=['interface.binding.first-failure']
bypass-catalog-validation: exit=1; comparisons=99; false=['interface.binding.invalid-empty', 'interface.binding.invalid-nonempty']
issue-adds-region-effect: exit=1; comparisons=99; false=['interface.admin.issued-delta']
DISCRIMINATES: 14 mutants and one nonempty unchanged control
