control: exit=0; comparisons=93; false=[]
reverse-order: exit=1; comparisons=93; false=['workflows.admin.live.repeat', 'workflows.admin.revocation', 'workflows.first.refusal', 'workflows.order.deposit.first', 'workflows.order.transfer.first', 'workflows.output.index', 'workflows.output.unit', 'workflows.output.unknown', 'workflows.resume.boundary', 'workflows.resume.terminal', 'workflows.resume.time', 'workflows.resume.time.negative', 'workflows.snapshot', 'workflows.transfer.deposit.withdraw']
drop-first-step: exit=1; comparisons=93; false=['workflows.actor', 'workflows.admin.live.repeat', 'workflows.admin.revocation', 'workflows.consecutive', 'workflows.first.refusal', 'workflows.frame.unsupported.counterexample', 'workflows.isolation.hidden.read', 'workflows.isolation.private', 'workflows.isolation.readonly', 'workflows.isolation.shared', 'workflows.isolation.wrong.component', 'workflows.order.deposit.first', 'workflows.order.transfer.first', 'workflows.output.forward', 'workflows.output.index', 'workflows.output.unit', 'workflows.output.unknown', 'workflows.resume.boundary', 'workflows.resume.output', 'workflows.resume.terminal', 'workflows.resume.time', 'workflows.resume.time.negative', 'workflows.snapshot', 'workflows.transfer.deposit.withdraw']
continue-after-refusal: exit=1; comparisons=93; false=['workflows.configuration', 'workflows.first.refusal', 'workflows.order.deposit.first', 'workflows.order.transfer.first', 'workflows.output.unit', 'workflows.resume.terminal']
reset-ledger: exit=1; comparisons=93; false=['workflows.admin.live.repeat', 'workflows.admin.revocation', 'workflows.consecutive', 'workflows.order.deposit.first', 'workflows.order.transfer.first', 'workflows.output.index', 'workflows.output.unit', 'workflows.output.unknown', 'workflows.resume.boundary', 'workflows.resume.terminal', 'workflows.resume.time', 'workflows.snapshot', 'workflows.transfer.deposit.withdraw']
reset-capability-store: exit=1; comparisons=93; false=['workflows.admin.live.repeat', 'workflows.admin.revocation', 'workflows.resume.boundary', 'workflows.resume.time', 'workflows.resume.time.negative']
omit-revocation-propagation: exit=1; comparisons=93; false=['execution.revoke.ledger.receipt', 'workflows.admin.revocation']
interface-write-bypass: exit=1; comparisons=93; false=['interface.actual-target', 'interface.declared-write', 'interface.foreign-write', 'interface.readonly-write', 'workflows.isolation.private', 'workflows.isolation.readonly']
wrong-output-index: exit=1; comparisons=93; false=['interface.snapshot-binding', 'interface.wrong-output-unit', 'workflows.output.index', 'workflows.resume.boundary', 'workflows.resume.time', 'workflows.resume.time.negative']
wrong-output-unit: exit=1; comparisons=93; false=['execution.binding.unit', 'interface.wrong-output-unit', 'interface.wrong-unit', 'workflows.output.unit']
drop-supply-receipt: exit=1; comparisons=93; false=['workflows.isolation.shared', 'workflows.order.deposit.first', 'workflows.output.index', 'workflows.output.unit', 'workflows.resume.boundary', 'workflows.resume.output', 'workflows.resume.terminal', 'workflows.resume.time', 'workflows.snapshot', 'workflows.transfer.deposit.withdraw']
reset-continuation-index: exit=1; comparisons=93; false=['workflows.resume.boundary', 'workflows.resume.output', 'workflows.resume.terminal', 'workflows.resume.time', 'workflows.resume.time.negative']
wrong-snapshot-index: exit=1; comparisons=93; false=['interface.snapshot-exact', 'workflows.admin.live.repeat', 'workflows.admin.revocation', 'workflows.consecutive', 'workflows.output.index', 'workflows.resume.boundary', 'workflows.resume.output', 'workflows.resume.time', 'workflows.resume.time.negative', 'workflows.snapshot', 'workflows.transfer.deposit.withdraw']
DISCRIMINATES: 12 mutants and one nonempty unchanged control
