control: exit=0; comparisons=131; false=[]
bypass-write-write-composite: exit=1; comparisons=131; false=['parallel.compat.first-list-witness', 'parallel.compat.forward-before-reverse', 'parallel.compat.forward-read', 'parallel.compat.hidden-delta', 'parallel.compat.hidden-inactive-guard', 'parallel.compat.hidden-supply', 'parallel.compat.output-dependency', 'parallel.compat.reverse-read', 'parallel.compat.unreachable-suffix', 'parallel.compat.write-write-witness', 'parallel.compat.zero-target', 'parallel.fixture.cancelling.admission', 'parallel.fixture.refusal.world-preserved', 'parallel.refused.conflict-unchanged']
omit-expression-reads-composite: exit=1; comparisons=131; false=['parallel.compat.common-read-no-writes', 'parallel.compat.delta-read-exact', 'parallel.compat.forward-read', 'parallel.compat.guard-read-exact', 'parallel.compat.hidden-delta', 'parallel.compat.hidden-inactive-guard', 'parallel.compat.hidden-supply', 'parallel.compat.reverse-read', 'parallel.compat.supply-read-exact']
omit-output-dependency: exit=1; comparisons=131; false=['parallel.compat.output-dependency', 'parallel.compat.output-exact']
omit-zero-delta-target: exit=1; comparisons=131; false=['parallel.compat.capability-not-evaluated', 'parallel.compat.delta-read-exact', 'parallel.compat.guard-read-exact', 'parallel.compat.independent', 'parallel.compat.invocation-exact-left', 'parallel.compat.invocation-exact-right', 'parallel.compat.left-empty', 'parallel.compat.numeric-input-not-evaluated', 'parallel.compat.output-exact', 'parallel.compat.prior-output-not-evaluated', 'parallel.compat.supply-read-exact', 'parallel.compat.zero-target', 'parallel.compat.zero-target-exact', 'parallel.fixture.cancelling.admission']
omit-reverse-conflict: exit=1; comparisons=131; false=['parallel.compat.reverse-read']
cancel-peer-after-refusal: exit=1; comparisons=131; false=['parallel.fixture.refusal.dual', 'parallel.fixture.refusal.guard', 'parallel.fixture.refusal.input-unit', 'parallel.fixture.refusal.missing-capability', 'parallel.fixture.refusal.peer-runs', 'parallel.fixture.refusal.prefix-kept', 'parallel.fixture.routing.peer-only', 'parallel.fixture.stateful.prefix', 'parallel.fixture.supply.prefix-refusal']
rollback-refused-prefix-at-join: exit=1; comparisons=131; false=['parallel.fixture.refusal.dual', 'parallel.fixture.refusal.prefix-kept', 'parallel.fixture.routing.peer-only', 'parallel.fixture.stateful.prefix', 'parallel.fixture.supply.prefix-refusal']
replace-merge-with-left-world: exit=1; comparisons=131; false=['parallel.fixture.basic.complete', 'parallel.fixture.boundary.local-identity', 'parallel.fixture.capability.reusable-shared-grant', 'parallel.fixture.empty.left', 'parallel.fixture.raw-context-differs', 'parallel.fixture.refusal.dual', 'parallel.fixture.refusal.guard', 'parallel.fixture.refusal.input-unit', 'parallel.fixture.refusal.missing-capability', 'parallel.fixture.refusal.peer-runs', 'parallel.fixture.refusal.prefix-kept', 'parallel.fixture.routing.both-own-history', 'parallel.fixture.routing.funded-literal', 'parallel.fixture.routing.own-history', 'parallel.fixture.routing.peer-only', 'parallel.fixture.same-asset.complete', 'parallel.fixture.stateful.prefix', 'parallel.fixture.stateful.supply', 'parallel.fixture.supply.complete', 'parallel.fixture.supply.prefix-refusal']
double-initial-balances: exit=1; comparisons=131; false=['parallel.empty', 'parallel.empty.lr', 'parallel.empty.rl', 'parallel.fixture.basic.complete', 'parallel.fixture.boundary.local-identity', 'parallel.fixture.cancelling.funded', 'parallel.fixture.capability.reusable-shared-grant', 'parallel.fixture.capability.revoked', 'parallel.fixture.empty.both', 'parallel.fixture.empty.left', 'parallel.fixture.empty.right', 'parallel.fixture.raw-context-differs', 'parallel.fixture.refusal.dual', 'parallel.fixture.refusal.guard', 'parallel.fixture.refusal.input-unit', 'parallel.fixture.refusal.missing-capability', 'parallel.fixture.refusal.peer-runs', 'parallel.fixture.refusal.prefix-kept', 'parallel.fixture.routing.both-own-history', 'parallel.fixture.routing.funded-literal', 'parallel.fixture.routing.own-history', 'parallel.fixture.routing.peer-only', 'parallel.fixture.routing.shared-qualified-key', 'parallel.fixture.same-asset.complete', 'parallel.fixture.stateful.prefix', 'parallel.fixture.stateful.supply', 'parallel.fixture.supply.complete', 'parallel.fixture.supply.prefix-refusal']
leak-peer-output-history: exit=1; comparisons=131; false=['parallel.fixture.basic.complete', 'parallel.fixture.boundary.local-identity', 'parallel.fixture.empty.left', 'parallel.fixture.raw-context-differs', 'parallel.fixture.refusal.dual', 'parallel.fixture.refusal.guard', 'parallel.fixture.refusal.input-unit', 'parallel.fixture.refusal.missing-capability', 'parallel.fixture.refusal.peer-runs', 'parallel.fixture.refusal.prefix-kept', 'parallel.fixture.routing.both-own-history', 'parallel.fixture.routing.funded-literal', 'parallel.fixture.routing.own-history', 'parallel.fixture.routing.peer-only', 'parallel.fixture.routing.shared-qualified-key', 'parallel.fixture.same-asset.complete', 'parallel.fixture.stateful.prefix', 'parallel.fixture.stateful.supply', 'parallel.fixture.supply.complete', 'parallel.fixture.supply.prefix-refusal']
