control: exit=0; comparisons=116; false=[]
schedule-count-bypass: exit=1; comparisons=116; false=['interleaving.fixture.malformed.schedule', 'interleaving.schedule.both-wrong-counts', 'interleaving.schedule.empty-extra-left', 'interleaving.schedule.empty-extra-right', 'interleaving.schedule.excess-left', 'interleaving.schedule.excess-right', 'interleaving.schedule.missing-left', 'interleaving.schedule.missing-right', 'interleaving.schedule.precedence-counts']
reintroduce-overlap-rejection: exit=1; comparisons=116; false=['interleaving.fixture.collateral.protected', 'interleaving.fixture.live.complete', 'interleaving.fixture.replenish.attempts', 'interleaving.fixture.replenish.funded', 'interleaving.fixture.replenish.halted', 'interleaving.fixture.shared.attempts', 'interleaving.fixture.shared.lr', 'interleaving.fixture.shared.order', 'interleaving.fixture.shared.rl', 'interleaving.fixture.snapshot.both.own', 'interleaving.fixture.snapshot.distinct', 'interleaving.fixture.snapshot.own', 'interleaving.schedule.overlap-admitted']
stale-initial-world: exit=1; comparisons=116; false=['interleaving.fixture.boundary.local', 'interleaving.fixture.capability.live', 'interleaving.fixture.disjoint.llrr.complete', 'interleaving.fixture.disjoint.llrr.parallel', 'interleaving.fixture.disjoint.llrr.refused.complete', 'interleaving.fixture.disjoint.llrr.refused.parallel', 'interleaving.fixture.disjoint.lrlr.complete', 'interleaving.fixture.disjoint.lrlr.parallel', 'interleaving.fixture.disjoint.lrlr.refused.complete', 'interleaving.fixture.disjoint.lrlr.refused.parallel', 'interleaving.fixture.disjoint.lrrl.complete', 'interleaving.fixture.disjoint.lrrl.parallel', 'interleaving.fixture.disjoint.lrrl.refused.complete', 'interleaving.fixture.disjoint.lrrl.refused.parallel', 'interleaving.fixture.disjoint.rllr.complete', 'interleaving.fixture.disjoint.rllr.parallel', 'interleaving.fixture.disjoint.rllr.refused.complete', 'interleaving.fixture.disjoint.rllr.refused.parallel', 'interleaving.fixture.disjoint.rlrl.complete', 'interleaving.fixture.disjoint.rlrl.parallel', 'interleaving.fixture.disjoint.rlrl.refused.complete', 'interleaving.fixture.disjoint.rlrl.refused.parallel', 'interleaving.fixture.disjoint.rrll.complete', 'interleaving.fixture.disjoint.rrll.parallel', 'interleaving.fixture.disjoint.rrll.refused.complete', 'interleaving.fixture.disjoint.rrll.refused.parallel', 'interleaving.fixture.history.funded.literal', 'interleaving.fixture.history.own', 'interleaving.fixture.history.peer.only', 'interleaving.fixture.live.complete', 'interleaving.fixture.refusal.dual', 'interleaving.fixture.refusal.immediate', 'interleaving.fixture.refusal.middle', 'interleaving.fixture.refusal.skips', 'interleaving.fixture.replenish.funded', 'interleaving.fixture.shared.attempts', 'interleaving.fixture.shared.lr', 'interleaving.fixture.shared.rl', 'interleaving.fixture.snapshot.both.own', 'interleaving.fixture.snapshot.distinct', 'interleaving.fixture.snapshot.own', 'interleaving.fixture.supply.complete']
isolated-branch-world: exit=1; comparisons=116; false=['interleaving.fixture.boundary.local', 'interleaving.fixture.capability.live', 'interleaving.fixture.disjoint.llrr.complete', 'interleaving.fixture.disjoint.llrr.parallel', 'interleaving.fixture.disjoint.llrr.refused.complete', 'interleaving.fixture.disjoint.llrr.refused.parallel', 'interleaving.fixture.disjoint.lrlr.complete', 'interleaving.fixture.disjoint.lrlr.parallel', 'interleaving.fixture.disjoint.lrlr.refused.complete', 'interleaving.fixture.disjoint.lrlr.refused.parallel', 'interleaving.fixture.disjoint.lrrl.complete', 'interleaving.fixture.disjoint.lrrl.parallel', 'interleaving.fixture.disjoint.lrrl.refused.complete', 'interleaving.fixture.disjoint.lrrl.refused.parallel', 'interleaving.fixture.disjoint.rllr.complete', 'interleaving.fixture.disjoint.rllr.parallel', 'interleaving.fixture.disjoint.rllr.refused.complete', 'interleaving.fixture.disjoint.rllr.refused.parallel', 'interleaving.fixture.disjoint.rlrl.complete', 'interleaving.fixture.disjoint.rlrl.parallel', 'interleaving.fixture.disjoint.rlrl.refused.complete', 'interleaving.fixture.disjoint.rlrl.refused.parallel', 'interleaving.fixture.disjoint.rrll.complete', 'interleaving.fixture.disjoint.rrll.parallel', 'interleaving.fixture.disjoint.rrll.refused.complete', 'interleaving.fixture.disjoint.rrll.refused.parallel', 'interleaving.fixture.history.funded.literal', 'interleaving.fixture.history.own', 'interleaving.fixture.history.peer.only', 'interleaving.fixture.live.complete', 'interleaving.fixture.refusal.dual', 'interleaving.fixture.refusal.middle', 'interleaving.fixture.replenish.funded', 'interleaving.fixture.shared.attempts', 'interleaving.fixture.shared.lr', 'interleaving.fixture.shared.rl', 'interleaving.fixture.snapshot.both.own', 'interleaving.fixture.snapshot.distinct', 'interleaving.fixture.snapshot.own', 'interleaving.fixture.supply.complete']
global-cancellation: exit=1; comparisons=116; false=['interleaving.fixture.capability.debit', 'interleaving.fixture.capability.revoked', 'interleaving.fixture.capability.unauthorized', 'interleaving.fixture.disjoint.llrr.refused.complete', 'interleaving.fixture.disjoint.llrr.refused.parallel', 'interleaving.fixture.disjoint.lrlr.refused.complete', 'interleaving.fixture.disjoint.lrlr.refused.parallel', 'interleaving.fixture.disjoint.rllr.refused.complete', 'interleaving.fixture.disjoint.rllr.refused.parallel', 'interleaving.fixture.refusal.dual', 'interleaving.fixture.refusal.immediate', 'interleaving.fixture.refusal.middle', 'interleaving.fixture.refusal.skips', 'interleaving.fixture.replenish.attempts', 'interleaving.fixture.replenish.halted']
prefix-world-rollback: exit=1; comparisons=116; false=['interleaving.fixture.disjoint.llrr.refused.complete', 'interleaving.fixture.disjoint.llrr.refused.parallel', 'interleaving.fixture.disjoint.lrlr.refused.complete', 'interleaving.fixture.disjoint.lrlr.refused.parallel', 'interleaving.fixture.disjoint.lrrl.refused.complete', 'interleaving.fixture.disjoint.lrrl.refused.parallel', 'interleaving.fixture.disjoint.rllr.refused.complete', 'interleaving.fixture.disjoint.rllr.refused.parallel', 'interleaving.fixture.disjoint.rlrl.refused.complete', 'interleaving.fixture.disjoint.rlrl.refused.parallel', 'interleaving.fixture.disjoint.rrll.refused.complete', 'interleaving.fixture.disjoint.rrll.refused.parallel', 'interleaving.fixture.history.peer.only', 'interleaving.fixture.history.unit', 'interleaving.fixture.refusal.dual', 'interleaving.fixture.refusal.middle', 'interleaving.fixture.refusal.skips', 'interleaving.fixture.shared.lr', 'interleaving.fixture.shared.rl', 'interleaving.fixture.supply.complete']
retry-halted-suffix: exit=1; comparisons=116; false=['interleaving.fixture.refusal.dual', 'interleaving.fixture.refusal.immediate', 'interleaving.fixture.refusal.middle', 'interleaving.fixture.refusal.skips', 'interleaving.fixture.replenish.attempts', 'interleaving.fixture.replenish.halted', 'interleaving.fixture.supply.aggregate', 'interleaving.fixture.supply.complete']
peer-history-leakage: exit=1; comparisons=116; false=['interleaving.fixture.history.peer.only']
snapshot-recomputation: exit=1; comparisons=116; false=['interleaving.fixture.snapshot.both.own', 'interleaving.fixture.snapshot.own']
global-boundary-position: exit=1; comparisons=116; false=['interleaving.fixture.boundary.local']
