control: exit=0; comparisons=189; false=[]
admin-bypass: exit=1; comparisons=189; false=['authority_issuer_wrong_authenticated_domain', 'authority_revoker_wrong_authenticated_domain', 'authority_unauthorized_issuer', 'authority_unauthorized_revoker', 'reference_unauthorized_issue', 'reference_unauthorized_revoke']
holder-bypass: exit=1; comparisons=189; false=['authority_wrong_holder', 'reference_wrong_holder', 'transition_wrong_cap_holder']
live-bypass: exit=1; comparisons=189; false=['authority_old_revoked_id_remains_unusable', 'authority_same_request_after_revoke', 'reference_issue_use_revoke_same_request', 'reference_old_id_stays_revoked', 'reference_resource_revoked_same_request', 'reference_revoked_invocation', 'transition_revoked_debit']
cap-domain-bypass: exit=1; comparisons=189; false=['authority_foreign_grant_cannot_authorize_local_context', 'authority_wrong_authenticated_domain']
cap-operation-bypass: exit=1; comparisons=189; false=['authority_other_operation_cannot_authorize_original', 'authority_wrong_operation', 'reference_issue_use_revoke_same_request', 'reference_resource_revoked_same_request', 'reference_revoked_invocation', 'reference_wrong_operation_capabilities']
cap-resource-bypass: exit=1; comparisons=189; false=['authority_duplicates_add_no_right', 'authority_right_kind_mismatch', 'authority_same_request_after_revoke', 'authority_wrong_debit_asset', 'authority_wrong_debit_owner', 'authority_wrong_supply_asset', 'reference_issue_use_revoke_same_request', 'reference_missing_debit', 'reference_missing_debt_supply', 'reference_missing_share_supply', 'reference_resource_revoked_same_request', 'reference_revoked_invocation', 'transition_debit_required', 'transition_invoke_required', 'transition_revoked_debit', 'transition_supply_required']
revoke-noop: exit=1; comparisons=189; false=['authority_old_revoked_id_remains_unusable', 'authority_revoke_accepted', 'authority_same_request_after_revoke', 'reference_issue_use_revoke_same_request', 'reference_old_id_stays_revoked', 'reference_resource_revoked_same_request', 'reference_revocation_tombstone', 'reference_revoked_invocation', 'transition_revoked_debit', 'transition_revoked_tombstone_exact']
invoke-bypass: exit=1; comparisons=189; false=['reference_issue_use_revoke_same_request', 'reference_revoked_invocation', 'reference_unknown_capability', 'reference_wrong_holder', 'reference_wrong_operation_capabilities', 'transition_invoke_required', 'transition_wrong_cap_holder']
guard-bypass: exit=1; comparisons=189; false=['reference_collateral_exceeded', 'reference_negative_borrow', 'reference_negative_deposit', 'reference_negative_transfer', 'reference_negative_withdraw', 'reference_oracle_future', 'reference_oracle_negative', 'reference_oracle_negative_independent', 'reference_oracle_stale', 'reference_oracle_zero', 'reference_oracle_zero_independent', 'transition_false_guard_missing_read_precedence', 'transition_guard_false']
state-read-bypass: exit=1; comparisons=189; false=['reference_missing_effect_read', 'reference_missing_guard_state_read', 'transition_effect_read_missing', 'transition_guard_read_missing', 'transition_inactive_read_missing', 'transition_supply_only_read_missing']
env-read-bypass: exit=1; comparisons=189; false=['reference_missing_guard_env_read', 'transition_env_read_missing', 'transition_now_read_missing', 'transition_timestamp_read_missing']
domain-bypass: exit=1; comparisons=189; false=['transition_foreign_effect', 'transition_foreign_state_read', 'transition_foreign_supply']
debit-bypass: exit=1; comparisons=189; false=['reference_missing_debit', 'reference_resource_revoked_same_request', 'transition_debit_required', 'transition_revoked_debit']
supply-bypass: exit=1; comparisons=189; false=['reference_missing_debt_supply', 'reference_missing_share_supply', 'transition_supply_required']
accounting-bypass: exit=1; comparisons=189; false=['reference_unbalanced', 'reference_wrong_asset_accounting', 'transition_mismatched_supply', 'transition_unbalanced', 'transition_wrong_asset_accounting']
write-bypass: exit=1; comparisons=189; false=['reference_missing_write', 'transition_missing_write']
registry-selection: exit=1; comparisons=189; false=['reference_borrow_capabilities_preserved', 'reference_borrow_full_post', 'reference_collateral_boundary_accept', 'reference_collateral_exceeded', 'reference_deposit_capabilities_preserved', 'reference_deposit_full_post', 'reference_deposit_insufficient', 'reference_fractional_deposit', 'reference_missing_debt_supply', 'reference_missing_guard_env_read', 'reference_missing_guard_state_read', 'reference_missing_share_supply', 'reference_negative_borrow', 'reference_negative_deposit', 'reference_negative_withdraw', 'reference_oracle_age_boundary_accept', 'reference_oracle_future', 'reference_oracle_missing', 'reference_oracle_negative', 'reference_oracle_negative_independent', 'reference_oracle_positive_zero_exposure', 'reference_oracle_stale', 'reference_oracle_wrong_dimension', 'reference_oracle_wrong_feed', 'reference_oracle_zero', 'reference_oracle_zero_independent', 'reference_pool_illiquid', 'reference_unknown_operation', 'reference_withdraw_capabilities_preserved', 'reference_withdraw_full_post', 'reference_withdraw_insufficient', 'reference_wrong_argument_dimension', 'reference_wrong_operation_capabilities', 'reference_zero_borrow', 'reference_zero_deposit', 'reference_zero_divisor', 'reference_zero_withdraw', 'transition_unknown_operation']
zero-division-bypass: exit=1; comparisons=189; false=['expr_zero_scalar_division_refused', 'transition_false_guard_failing_effect_precedence']
inactive-state-read-omission: exit=1; comparisons=189; false=['expr_inactive_state_branch_tracked', 'transition_inactive_read_missing', 'transition_supply_only_read_missing']
supply-first-only: exit=1; comparisons=189; false=['transition_repeated_supply_sum']
oracle-freshness-bypass: exit=1; comparisons=189; false=['reference_oracle_stale']
oracle-future-bypass: exit=1; comparisons=189; false=['reference_oracle_future']
oracle-positive-price-bypass: exit=1; comparisons=189; false=['reference_oracle_negative_independent', 'reference_oracle_zero_independent']
collateral-factor-weakened: exit=1; comparisons=189; false=['reference_collateral_exceeded']
DISCRIMINATES: 24 mutants and one nonempty unchanged control
