control: exit=0; comparisons=148; false=[]
entry-world-at-seq: exit=1; comparisons=148; false=['metatheory.config.extended.admin', 'metatheory.config.extended.group', 'metatheory.config.extended.refusal', 'metatheory.context.fill.failed.original', 'metatheory.context.fill.failed.replacement', 'metatheory.context.fill.original', 'metatheory.context.fill.replacement', 'metatheory.context.funded.long', 'metatheory.context.funded.short', 'metatheory.context.prefix-suffix.left', 'metatheory.context.prefix-suffix.right', 'metatheory.group.admin.denied', 'metatheory.group.admin.revoke', 'metatheory.group.assoc.failure.left', 'metatheory.group.assoc.failure.right', 'metatheory.group.boundary-index', 'metatheory.group.child-executed', 'metatheory.group.continuation', 'metatheory.group.empty.right', 'metatheory.group.forward-refusal', 'metatheory.group.history-chain', 'metatheory.group.index-chain', 'metatheory.group.ordered', 'metatheory.group.refusal-absorption', 'metatheory.group.reverse-refusal', 'metatheory.group.store-chain', 'metatheory.group.world-chain']
entry-store-at-seq: exit=1; comparisons=148; false=['metatheory.config.extended.admin', 'metatheory.group.admin.denied', 'metatheory.group.admin.revoke', 'metatheory.group.store-chain']
reset-history-at-seq: exit=1; comparisons=148; false=['metatheory.config.extended.admin', 'metatheory.config.extended.group', 'metatheory.config.extended.refusal', 'metatheory.context.fill.failed.original', 'metatheory.context.fill.failed.replacement', 'metatheory.context.fill.original', 'metatheory.context.fill.replacement', 'metatheory.context.funded.long', 'metatheory.context.prefix-suffix.left', 'metatheory.context.prefix-suffix.right', 'metatheory.group.admin.denied', 'metatheory.group.admin.revoke', 'metatheory.group.assoc.failure.left', 'metatheory.group.assoc.failure.right', 'metatheory.group.boundary-index', 'metatheory.group.child-executed', 'metatheory.group.continuation', 'metatheory.group.empty.right', 'metatheory.group.forward-refusal', 'metatheory.group.history-chain', 'metatheory.group.index-chain', 'metatheory.group.ordered', 'metatheory.group.refusal-absorption', 'metatheory.group.reverse-refusal', 'metatheory.group.world-chain']
reset-index-at-seq: exit=1; comparisons=148; false=['metatheory.config.extended.admin', 'metatheory.config.extended.group', 'metatheory.config.extended.refusal', 'metatheory.context.fill.failed.original', 'metatheory.context.fill.failed.replacement', 'metatheory.context.fill.original', 'metatheory.context.fill.replacement', 'metatheory.context.funded.long', 'metatheory.context.funded.short', 'metatheory.context.prefix-suffix.left', 'metatheory.context.prefix-suffix.right', 'metatheory.group.admin.denied', 'metatheory.group.admin.revoke', 'metatheory.group.assoc.failure.left', 'metatheory.group.assoc.failure.right', 'metatheory.group.boundary-index', 'metatheory.group.child-executed', 'metatheory.group.continuation', 'metatheory.group.empty.right', 'metatheory.group.forward-refusal', 'metatheory.group.history-chain', 'metatheory.group.index-chain', 'metatheory.group.ordered', 'metatheory.group.refusal-absorption', 'metatheory.group.reverse-refusal', 'metatheory.group.store-chain', 'metatheory.group.world-chain']
clear-failure-at-seq: exit=1; comparisons=148; false=['metatheory.config.extended.admin', 'metatheory.config.extended.refusal', 'metatheory.context.fill.failed.original', 'metatheory.context.fill.failed.replacement', 'metatheory.context.one-entry.long', 'metatheory.group.admin.denied', 'metatheory.group.assoc.failure.left', 'metatheory.group.assoc.failure.right', 'metatheory.group.failed-entry', 'metatheory.group.refusal-absorption']
skip-second-child: exit=1; comparisons=148; false=['metatheory.config.extended.admin', 'metatheory.config.extended.group', 'metatheory.config.extended.refusal', 'metatheory.context.fill.failed.original', 'metatheory.context.fill.failed.replacement', 'metatheory.context.fill.original', 'metatheory.context.fill.replacement', 'metatheory.context.funded.long', 'metatheory.context.funded.short', 'metatheory.context.prefix-suffix.left', 'metatheory.context.prefix-suffix.right', 'metatheory.group.admin.denied', 'metatheory.group.admin.revoke', 'metatheory.group.assoc.failure.left', 'metatheory.group.assoc.failure.right', 'metatheory.group.boundary-index', 'metatheory.group.child-executed', 'metatheory.group.continuation', 'metatheory.group.empty.left', 'metatheory.group.forward-refusal', 'metatheory.group.history-chain', 'metatheory.group.index-chain', 'metatheory.group.ordered', 'metatheory.group.refusal-absorption', 'metatheory.group.reverse-refusal', 'metatheory.group.store-chain', 'metatheory.group.world-chain']
reverse-child-order: exit=1; comparisons=148; false=['metatheory.config.extended.admin', 'metatheory.config.extended.group', 'metatheory.config.extended.refusal', 'metatheory.context.fill.failed.original', 'metatheory.context.fill.failed.replacement', 'metatheory.context.fill.original', 'metatheory.context.fill.replacement', 'metatheory.context.funded.long', 'metatheory.context.funded.short', 'metatheory.context.one-entry.long', 'metatheory.context.prefix-suffix.left', 'metatheory.context.prefix-suffix.right', 'metatheory.group.admin.denied', 'metatheory.group.admin.revoke', 'metatheory.group.assoc.failure.left', 'metatheory.group.assoc.failure.right', 'metatheory.group.boundary-index', 'metatheory.group.child-executed', 'metatheory.group.continuation', 'metatheory.group.forward-refusal', 'metatheory.group.history-chain', 'metatheory.group.index-chain', 'metatheory.group.ordered', 'metatheory.group.refusal-absorption', 'metatheory.group.reverse-refusal', 'metatheory.group.store-chain', 'metatheory.group.world-chain']
zero-boundary-index: exit=1; comparisons=148; false=['metatheory.config.extended.admin', 'metatheory.config.extended.group', 'metatheory.context.fill.original', 'metatheory.context.fill.replacement', 'metatheory.context.index.original', 'metatheory.context.prefix-suffix.left', 'metatheory.context.prefix-suffix.right', 'metatheory.group.admin.denied', 'metatheory.group.admin.issue', 'metatheory.group.admin.revoke', 'metatheory.group.boundary-index', 'metatheory.group.child-executed', 'metatheory.group.continuation', 'metatheory.group.index-chain', 'metatheory.group.ordered', 'metatheory.group.store-chain']
omit-observed-ledger: exit=1; comparisons=148; false=['metatheory.observe.world-diff']
omit-observed-store: exit=1; comparisons=148; false=['metatheory.observe.store-diff', 'metatheory.observe.store.tombstone']
