control: exit=0; comparisons=135; false=[]
retain-prefix-on-abort: exit=1; comparisons=135; false=['atomic.fixture.abort.middle.public', 'atomic.fixture.abort.supply', 'atomic.fixture.followup.fresh.history', 'atomic.fixture.followup.funded.literal', 'atomic.fixture.followup.producer.aborted', 'atomic.fixture.history.peer.only', 'atomic.fixture.settlement.cross.asset', 'atomic.fixture.settlement.cross.domain', 'atomic.fixture.settlement.cross.principal', 'atomic.fixture.settlement.last.lane', 'atomic.fixture.settlement.last.participant', 'atomic.fixture.settlement.noop', 'atomic.fixture.settlement.over', 'atomic.fixture.settlement.under', 'atomic.fixture.supply.first.lane.share', 'atomic.fixture.supply.first.lane.usd', 'atomic.fixture.supply.lane.after.draw', 'atomic.fixture.supply.lane.nonvault', 'atomic.observe.diagnostic.erased']
continue-after-first-failure: exit=1; comparisons=135; false=['atomic.fixture.abort.first.stopped', 'atomic.fixture.abort.middle.stopped', 'atomic.fixture.supply.first.lane.diagnostic.share', 'atomic.fixture.supply.first.lane.diagnostic.usd', 'atomic.fixture.supply.lane.after.draw.table']
publish-aborted-outputs: exit=1; comparisons=135; false=['atomic.fixture.abort.first.public', 'atomic.fixture.abort.middle.public', 'atomic.fixture.abort.outputs', 'atomic.fixture.abort.supply', 'atomic.fixture.capability.debit', 'atomic.fixture.capability.missing', 'atomic.fixture.capability.revoked', 'atomic.fixture.followup.fresh.history', 'atomic.fixture.followup.producer.aborted', 'atomic.fixture.history.peer.only', 'atomic.fixture.order.abort', 'atomic.fixture.settlement.cross.asset', 'atomic.fixture.settlement.cross.domain', 'atomic.fixture.settlement.cross.principal', 'atomic.fixture.settlement.last.lane', 'atomic.fixture.settlement.last.participant', 'atomic.fixture.settlement.noop', 'atomic.fixture.settlement.over', 'atomic.fixture.settlement.under', 'atomic.fixture.supply.first.lane.share', 'atomic.fixture.supply.first.lane.usd', 'atomic.fixture.supply.lane.after.draw', 'atomic.fixture.supply.lane.nonvault']
count-aborted-supply: exit=1; comparisons=135; false=['atomic.fixture.abort.middle.public', 'atomic.fixture.abort.supply', 'atomic.fixture.followup.producer.aborted', 'atomic.fixture.supply.first.lane.share', 'atomic.fixture.supply.first.lane.usd', 'atomic.fixture.supply.lane.after.draw', 'atomic.fixture.supply.lane.nonvault']
stale-entry-world: exit=1; comparisons=135; false=['atomic.admission.extra.participant', 'atomic.fixture.abort.middle.public', 'atomic.fixture.abort.middle.stopped', 'atomic.fixture.abort.supply.diagnostic', 'atomic.fixture.boundary.local', 'atomic.fixture.capability.live', 'atomic.fixture.followup.producer.diagnostic', 'atomic.fixture.history.both.own', 'atomic.fixture.history.funded.literal', 'atomic.fixture.history.own', 'atomic.fixture.live.complete', 'atomic.fixture.order.commit', 'atomic.fixture.settlement.clear.table', 'atomic.fixture.settlement.credit.commit', 'atomic.fixture.settlement.credit.prefix', 'atomic.fixture.settlement.cross.asset.table', 'atomic.fixture.settlement.cross.domain.table', 'atomic.fixture.settlement.cross.principal.table', 'atomic.fixture.settlement.draw.return', 'atomic.fixture.settlement.noop.table', 'atomic.fixture.settlement.over', 'atomic.fixture.settlement.over.diagnostic', 'atomic.fixture.settlement.repeated.commit', 'atomic.fixture.settlement.under', 'atomic.fixture.settlement.under.diagnostic', 'atomic.fixture.supply.first.lane.diagnostic.share', 'atomic.fixture.supply.first.lane.diagnostic.usd', 'atomic.fixture.supply.lane.after.draw.table', 'atomic.fixture.supply.nonlane']
peer-history-leakage: exit=1; comparisons=135; false=['atomic.fixture.history.both.own', 'atomic.fixture.history.peer.only']
global-boundary-index: exit=1; comparisons=135; false=['atomic.fixture.boundary.local']
erase-debt-without-receipt: exit=1; comparisons=135; false=['atomic.fixture.abort.middle.stopped', 'atomic.fixture.settlement.cross.asset', 'atomic.fixture.settlement.cross.asset.table', 'atomic.fixture.settlement.cross.domain', 'atomic.fixture.settlement.cross.domain.table', 'atomic.fixture.settlement.noop', 'atomic.fixture.settlement.noop.table', 'atomic.fixture.supply.first.lane.diagnostic.share', 'atomic.fixture.supply.first.lane.diagnostic.usd', 'atomic.fixture.supply.lane.after.draw.table', 'atomic.fixture.supply.nonlane']
opposite-vault-effect-sign: exit=1; comparisons=135; false=['atomic.fixture.abort.middle.stopped', 'atomic.fixture.settlement.credit.prefix', 'atomic.fixture.settlement.cross.asset', 'atomic.fixture.settlement.cross.asset.table', 'atomic.fixture.settlement.cross.domain', 'atomic.fixture.settlement.cross.domain.table', 'atomic.fixture.settlement.cross.principal', 'atomic.fixture.settlement.cross.principal.table', 'atomic.fixture.settlement.draw.prefix', 'atomic.fixture.settlement.last.lane', 'atomic.fixture.settlement.last.lane.table', 'atomic.fixture.settlement.last.participant', 'atomic.fixture.settlement.last.participant.table', 'atomic.fixture.settlement.noop', 'atomic.fixture.settlement.noop.table', 'atomic.fixture.settlement.over', 'atomic.fixture.settlement.over.diagnostic', 'atomic.fixture.settlement.repeated.prefix', 'atomic.fixture.settlement.under', 'atomic.fixture.settlement.under.diagnostic', 'atomic.fixture.supply.first.lane.diagnostic.share', 'atomic.fixture.supply.first.lane.diagnostic.usd', 'atomic.fixture.supply.lane.after.draw.table']
global-settlement-sum: exit=1; comparisons=135; false=['atomic.fixture.settlement.cross.asset', 'atomic.fixture.settlement.cross.domain', 'atomic.fixture.settlement.cross.principal']
